"bundle_version","bundle_file","source_version","domain","source_file","bytes"
"001","migrations/V001__foundation_schemas.sql","001","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/001_foundation_schemas.sql","347"
"002","migrations/V002__registry_tables.sql","002","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/002_registry_tables.sql","2680"
"003","migrations/V003__partition_ready_evidence_tables.sql","003","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/003_partition_ready_evidence_tables.sql","5207"
"004","migrations/V004__artifact_report_snapshot_tables.sql","004","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/004_artifact_report_snapshot_tables.sql","1992"
"005","migrations/V005__hash_chain_triggers.sql","005","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/005_hash_chain_triggers.sql","1048"
"006","migrations/V006__indexes.sql","006","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/006_indexes.sql","1302"
"007","migrations/V007__script_contract_tables.sql","007","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/007_script_contract_tables.sql","3717"
"008","migrations/V008__script_contract_indexes.sql","008","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/008_script_contract_indexes.sql","1279"
"009","migrations/V009__execution_environments.sql","009","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/009_execution_environments.sql","2214"
"010","migrations/V010__enable_monthly_partitions.sql","010","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/010_enable_monthly_partitions.sql","933"
"011","migrations/V011__execution_environment_indexes.sql","011","foundation_environment_lineage","v001_v010_environment_lineage/postgres/migrations/011_execution_environment_indexes.sql","1100"
"012","migrations/V012__container_governance_registry.sql","011","container_governance","v011_v025_container_governance/postgres/migrations/V011__container_governance_registry.sql","18159"
"013","migrations/V013__container_governance_final_enterprise_standard.sql","015","container_governance","v011_v025_container_governance/postgres/migrations/V015__container_governance_final_enterprise_standard.sql","53249"
"014","migrations/V014__container_governance_automation.sql","016","container_governance","v011_v025_container_governance/postgres/migrations/V016__container_governance_automation.sql","19080"
"015","migrations/V015__container_governance_ai_governance.sql","017","container_governance","v011_v025_container_governance/postgres/migrations/V017__container_governance_ai_governance.sql","17039"
"016","migrations/V016__container_governance_federation.sql","018","container_governance","v011_v025_container_governance/postgres/migrations/V018__container_governance_federation.sql","12583"
"017","migrations/V017__container_governance_archive_partitioning.sql","019","container_governance","v011_v025_container_governance/postgres/migrations/V019__container_governance_archive_partitioning.sql","13052"
"018","migrations/V018__container_governance_regulated_operations.sql","020","container_governance","v011_v025_container_governance/postgres/migrations/V020__container_governance_regulated_operations.sql","19435"
"019","migrations/V019__container_governance_policy_as_code.sql","021","container_governance","v011_v025_container_governance/postgres/migrations/V021__container_governance_policy_as_code.sql","11945"
"020","migrations/V020__container_governance_release_evidence_packets.sql","022","container_governance","v011_v025_container_governance/postgres/migrations/V022__container_governance_release_evidence_packets.sql","11427"
"021","migrations/V021__container_governance_revalidation_scheduler.sql","023","container_governance","v011_v025_container_governance/postgres/migrations/V023__container_governance_revalidation_scheduler.sql","9566"
"022","migrations/V022__container_governance_incident_response.sql","024","container_governance","v011_v025_container_governance/postgres/migrations/V024__container_governance_incident_response.sql","9991"
"023","migrations/V023__container_governance_control_matrix.sql","025","container_governance","v011_v025_container_governance/postgres/migrations/V025__container_governance_control_matrix.sql","14169"
"024","migrations/V024__architecture_governance.sql","026","ai_governance","v026_v038_ai_governance/postgres/migrations/V026__architecture_governance.sql","399"
"025","migrations/V025__supply_chain_trust.sql","027","ai_governance","v026_v038_ai_governance/postgres/migrations/V027__supply_chain_trust.sql","386"
"026","migrations/V026__cryptographic_trust.sql","028","ai_governance","v026_v038_ai_governance/postgres/migrations/V028__cryptographic_trust.sql","366"
"027","migrations/V027__data_governance.sql","029","ai_governance","v026_v038_ai_governance/postgres/migrations/V029__data_governance.sql","377"
"028","migrations/V028__business_continuity.sql","030","ai_governance","v026_v038_ai_governance/postgres/migrations/V030__business_continuity.sql","374"
"029","migrations/V029__human_governance.sql","031","ai_governance","v026_v038_ai_governance/postgres/migrations/V031__human_governance.sql","379"
"030","migrations/V030__digital_trust_ledger.sql","032","ai_governance","v026_v038_ai_governance/postgres/migrations/V032__digital_trust_ledger.sql","375"
"031","migrations/V031__enterprise_risk_management.sql","033","ai_governance","v026_v038_ai_governance/postgres/migrations/V033__enterprise_risk_management.sql","6213"
"032","migrations/V032__vendor_risk_management.sql","034","ai_governance","v026_v038_ai_governance/postgres/migrations/V034__vendor_risk_management.sql","6690"
"033","migrations/V033__scientific_governance.sql","035","ai_governance","v026_v038_ai_governance/postgres/migrations/V035__scientific_governance.sql","6880"
"034","migrations/V034__knowledge_graph_governance.sql","036","ai_governance","v026_v038_ai_governance/postgres/migrations/V036__knowledge_graph_governance.sql","5301"
"035","migrations/V035__financial_governance.sql","037","ai_governance","v026_v038_ai_governance/postgres/migrations/V037__financial_governance.sql","5050"
"036","migrations/V036__digital_twin_governance.sql","038","ai_governance","v026_v038_ai_governance/postgres/migrations/V038__digital_twin_governance.sql","6243"
"037","migrations/V037__enterprise_architecture_repository.sql","039","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V039__enterprise_architecture_repository.sql","858"
"038","migrations/V038__master_data_governance.sql","040","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V040__master_data_governance.sql","804"
"039","migrations/V039__portfolio_management.sql","041","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V041__portfolio_management.sql","764"
"040","migrations/V040__regulatory_submission_governance.sql","042","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V042__regulatory_submission_governance.sql","786"
"041","migrations/V041__model_risk_management.sql","043","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V043__model_risk_management.sql","785"
"042","migrations/V042__enterprise_knowledge_graph.sql","044","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V044__enterprise_knowledge_graph.sql","826"
"043","migrations/V043__autonomous_agent_governance.sql","045","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V045__autonomous_agent_governance.sql","775"
"044","migrations/V044__crypto_agility_and_pqc.sql","046","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V046__crypto_agility_and_pqc.sql","790"
"045","migrations/V045__human_capital_governance.sql","047","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V047__human_capital_governance.sql","768"
"046","migrations/V046__executive_governance.sql","048","ai_governance_expansion","v039_v048_ai_governance/postgres/migrations/V048__executive_governance.sql","752"
"047","migrations/V047__enterprise_process_governance.sql","049","governance_domains","v049_v057_ai_governance/postgres/migrations/V049__enterprise_process_governance.sql","393"
"048","migrations/V048__decision_governance.sql","050","governance_domains","v049_v057_ai_governance/postgres/migrations/V050__decision_governance.sql","381"
"049","migrations/V049__ai_assurance.sql","051","governance_domains","v049_v057_ai_governance/postgres/migrations/V051__ai_assurance.sql","397"
"050","migrations/V050__data_mesh_governance.sql","052","governance_domains","v049_v057_ai_governance/postgres/migrations/V052__data_mesh_governance.sql","384"
"051","migrations/V051__research_knowledge_management.sql","053","governance_domains","v049_v057_ai_governance/postgres/migrations/V053__research_knowledge_management.sql","394"
"052","migrations/V052__observability_governance.sql","054","governance_domains","v049_v057_ai_governance/postgres/migrations/V054__observability_governance.sql","387"
"053","migrations/V053__sustainability_governance.sql","055","governance_domains","v049_v057_ai_governance/postgres/migrations/V055__sustainability_governance.sql","381"
"054","migrations/V054__legal_governance.sql","056","governance_domains","v049_v057_ai_governance/postgres/migrations/V056__legal_governance.sql","378"
"055","migrations/V055__enterprise_digital_thread.sql","057","governance_domains","v049_v057_ai_governance/postgres/migrations/V057__enterprise_digital_thread.sql","432"
"056","migrations/V056__universal_entity_model.sql","058","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V058__universal_entity_model.sql","5957"
"057","migrations/V057__global_identity_framework.sql","059","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V059__global_identity_framework.sql","4925"
"058","migrations/V058__enterprise_event_framework.sql","060","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V060__enterprise_event_framework.sql","5600"
"059","migrations/V059__metadata_registry.sql","061","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V061__metadata_registry.sql","5014"
"060","migrations/V060__relationship_engine.sql","062","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V062__relationship_engine.sql","4843"
"061","migrations/V061__temporal_governance.sql","063","foundation_kernel","v058_v063_foundation_kernel/postgres/migrations/V063__temporal_governance.sql","4323"
"062","migrations/V062__governance_rules_engine.sql","068","platform_services","v068_v074_platform_services/postgres/migrations/V068__governance_rules_engine.sql","841"
"063","migrations/V063__workflow_orchestration.sql","069","platform_services","v068_v074_platform_services/postgres/migrations/V069__workflow_orchestration.sql","822"
"064","migrations/V064__governance_analytics.sql","070","platform_services","v068_v074_platform_services/postgres/migrations/V070__governance_analytics.sql","804"
"065","migrations/V065__governance_recommendation_engine.sql","071","platform_services","v068_v074_platform_services/postgres/migrations/V071__governance_recommendation_engine.sql","814"
"066","migrations/V066__governance_simulation_engine.sql","072","platform_services","v068_v074_platform_services/postgres/migrations/V072__governance_simulation_engine.sql","822"
"067","migrations/V067__semantic_reasoning.sql","073","platform_services","v068_v074_platform_services/postgres/migrations/V073__semantic_reasoning.sql","786"
"068","migrations/V068__governance_assistant.sql","074","platform_services","v068_v074_platform_services/postgres/migrations/V074__governance_assistant.sql","814"
"069","migrations/V069__enterprise_governance_os.sql","075","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V075__enterprise_governance_os.sql","6741"
"070","migrations/V070__autonomous_governance.sql","076","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V076__autonomous_governance.sql","5132"
"071","migrations/V071__governance_marketplace.sql","077","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V077__governance_marketplace.sql","3800"
"072","migrations/V072__multi_enterprise_federation.sql","078","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V078__multi_enterprise_federation.sql","4268"
"073","migrations/V073__governance_lakehouse.sql","079","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V079__governance_lakehouse.sql","3878"
"074","migrations/V074__governance_event_streaming.sql","080","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V080__governance_event_streaming.sql","3700"
"075","migrations/V075__regulatory_intelligence.sql","081","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V081__regulatory_intelligence.sql","4775"
"076","migrations/V076__governance_digital_twin.sql","082","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V082__governance_digital_twin.sql","4320"
"077","migrations/V077__strategic_planning.sql","083","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V083__strategic_planning.sql","3762"
"078","migrations/V078__enterprise_cognitive_layer.sql","084","platform_expansion","v075_v084_platform_expansion/postgres/migrations/V084__enterprise_cognitive_layer.sql","5752"
"079","migrations/V079__governance_api_contracts.sql","085","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V085__governance_api_contracts.sql","5399"
"080","migrations/V080__governance_cli_contracts.sql","086","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V086__governance_cli_contracts.sql","4548"
"081","migrations/V081__governance_generator_contracts.sql","087","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V087__governance_generator_contracts.sql","5267"
"082","migrations/V082__governance_validation_test_registry.sql","088","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V088__governance_validation_test_registry.sql","5007"
"083","migrations/V083__governance_dashboard_contracts.sql","089","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V089__governance_dashboard_contracts.sql","4545"
"084","migrations/V084__governance_sop_runbook_registry.sql","090","implementation_contracts","v085_v090_implementation_contracts/postgres/migrations/V090__governance_sop_runbook_registry.sql","5274"
"085","migrations/V085__evidence_schema_migration_history.sql","091","hardening","v091_v108_hardening_migrations/V091__evidence_schema_migration_history.sql","3338"
"086","migrations/V086__controlled_vocabularies_constraints_and_run_lifecycle.sql","092","hardening","v091_v108_hardening_migrations/V092__controlled_vocabularies_constraints_and_run_lifecycle.sql","12272"
"087","migrations/V087__append_only_evidence_and_run_immutability.sql","093","hardening","v091_v108_hardening_migrations/V093__append_only_evidence_and_run_immutability.sql","2772"
"088","migrations/V088__audit_event_sequence_and_canonical_hash_chain.sql","094","hardening","v091_v108_hardening_migrations/V094__audit_event_sequence_and_canonical_hash_chain.sql","3994"
"089","migrations/V089__monthly_partitioned_evidence_tables.sql","095","hardening","v091_v108_hardening_migrations/V095__monthly_partitioned_evidence_tables.sql","12214"
"090","migrations/V090__identity_approvals_signatures_and_rbac.sql","096","hardening","v091_v108_hardening_migrations/V096__identity_approvals_signatures_and_rbac.sql","6895"
"091","migrations/V091__retention_legal_hold_enforcement.sql","097","hardening","v091_v108_hardening_migrations/V097__retention_legal_hold_enforcement.sql","5250"
"092","migrations/V092__evidence_ingestion_observability.sql","098","hardening","v091_v108_hardening_migrations/V098__evidence_ingestion_observability.sql","7436"
"093","migrations/V093__partition_index_reconciliation.sql","099","hardening","v091_v108_hardening_migrations/V099__partition_index_reconciliation.sql","4552"
"094","migrations/V094__constraint_validation_and_data_quality_gate.sql","100","hardening","v091_v108_hardening_migrations/V100__constraint_validation_and_data_quality_gate.sql","2258"
"095","migrations/V095__row_level_security_policies.sql","101","hardening","v091_v108_hardening_migrations/V101__row_level_security_policies.sql","6788"
"096","migrations/V096__audit_chain_verification_and_controlled_corrections.sql","102","hardening","v091_v108_hardening_migrations/V102__audit_chain_verification_and_controlled_corrections.sql","5471"
"097","migrations/V097__ddl_audit_and_privileged_operation_logging.sql","103","hardening","v091_v108_hardening_migrations/V103__ddl_audit_and_privileged_operation_logging.sql","3310"
"098","migrations/V098__partition_maintenance_and_integrity.sql","104","hardening","v091_v108_hardening_migrations/V104__partition_maintenance_and_integrity.sql","4297"
"099","migrations/V099__database_data_dictionary_and_classification.sql","105","hardening","v091_v108_hardening_migrations/V105__database_data_dictionary_and_classification.sql","5212"
"100","migrations/V100__regulated_compliance_health_views.sql","106","hardening","v091_v108_hardening_migrations/V106__regulated_compliance_health_views.sql","3735"
"101","migrations/V101__backup_restore_and_disaster_recovery_evidence.sql","107","hardening","v091_v108_hardening_migrations/V107__backup_restore_and_disaster_recovery_evidence.sql","5023"
"102","migrations/V102__schema_architecture_map_and_reference_rules.sql","108","hardening","v091_v108_hardening_migrations/V108__schema_architecture_map_and_reference_rules.sql","17264"
"103","migrations/V103__least_privilege_runtime_roles.sql","103","repo_local_hardening","governance_migration_bundle/migrations/V103__least_privilege_runtime_roles.sql","3046"
